Unnamed: 0,rep,hv,dataset,exp,num_pts,avg_pred_perf,avg_fair_perf,objective1,objective2
19,19,0.7964475296039198,student_math,Equal Weights,22,0.9384349827387802,0.2484522645812968,0,0
20,0,0.766796494644596,student_math,Deterministic Weights,244,0.9746835443037976,0.2132867132867133,0,0
21,1,0.7994273658830622,student_math,Deterministic Weights,9,0.9142053445850914,0.1997354497354497,0,0
22,2,0.7239355581127732,student_math,Deterministic Weights,9,0.942334739803094,0.3525252525252525,0,0
23,3,0.6296892980437284,student_math,Deterministic Weights,3,0.9620253164556964,0.3454545454545454,0,0
24,4,0.6323726237466539,student_math,Deterministic Weights,133,0.9233844103930712,0.4285781658447192,0,0
25,5,0.8594839337877311,student_math,Deterministic Weights,3,0.9324894514767932,0.1382051282051282,0,0
26,6,0.5712894700236472,student_math,Deterministic Weights,96,0.9367088607594934,0.3901098901098901,0,0
27,7,0.6861984483462638,student_math,Deterministic Weights,29,0.9266695766041032,0.3050611790878754,0,0
28,8,0.8032341242835322,student_math,Deterministic Weights,509,0.9052746760836584,0.1749887919480416,0,0
29,9,0.770983446932814,student_math,Deterministic Weights,11,0.9367088607594936,0.1769230769230769,0,0
30,10,0.6932215463861033,student_math,Deterministic Weights,138,0.9154283617684826,0.3106123345253779,0,0
31,11,0.7882849342268552,student_math,Deterministic Weights,37,0.9261033185083818,0.2155899214722744,0,0
32,12,0.8557328930471473,student_math,Deterministic Weights,3,0.9113924050632912,0.0932367149758454,0,0
33,13,0.6945586059510109,student_math,Deterministic Weights,2,0.9177215189873418,0.3059163059163059,0,0
34,14,0.7709615682468782,student_math,Deterministic Weights,7,0.911392405063291,0.2035309888480077,0,0
35,15,0.6740365682137834,student_math,Deterministic Weights,111,0.9462880602121112,0.3280480480480482,0,0
36,16,0.8528886725089257,student_math,Deterministic Weights,8,0.9098101265822784,0.1216231684981684,0,0
37,17,0.6066455696202531,student_math,Deterministic Weights,14,0.9484629294755876,0.4296428571428573,0,0
38,18,0.7047372458764865,student_math,Deterministic Weights,775,0.9114414046549608,0.3179765395894429,0,0
39,19,0.7973588406558936,student_math,Deterministic Weights,52,0.9350048685491722,0.2294358403924588,0,0
40,0,0.9693281402142162,student_math,Evolved Weights,98,0.6066907775768536,0.0089125160553731,0,0
41,1,0.7576853526220614,student_math,Evolved Weights,6,0.9050632911392406,0.2063492063492063,0,0
42,2,0.9033755274261605,student_math,Evolved Weights,125,0.731746835443038,0.0905939393939394,0,0
43,3,0.9164098910934354,student_math,Evolved Weights,175,0.8439783001808319,0.1539985728557156,0,0
44,4,0.7393834218048182,student_math,Evolved Weights,90,0.9163150492264416,0.4137146555157306,0,0
45,5,0.890167881005943,student_math,Evolved Weights,4,0.9462025316455696,0.1300596816976127,0,0
46,6,0.6714709341291619,student_math,Evolved Weights,117,0.9239424429297848,0.369220523066677,0,0
47,7,0.7893017558187014,student_math,Evolved Weights,20,0.9113924050632912,0.2612903225806451,0,0
48,8,0.7806134022957216,student_math,Evolved Weights,19,0.9000666222518321,0.1562441048858705,0,0
49,9,0.9151898734177216,student_math,Evolved Weights,41,0.5050941648656992,0.0024390243902439,0,0
50,10,0.9114398962500228,student_math,Evolved Weights,75,0.729789029535865,0.0965714285714285,0,0
51,11,0.7823450438863693,student_math,Evolved Weights,4,0.9050632911392406,0.1940730837789661,0,0
52,12,0.9069161621720784,student_math,Evolved Weights,89,0.6846821220310056,0.029815990880964,0,0
53,13,0.7379947759694596,student_math,Evolved Weights,163,0.93554399316611,0.344824228259811,0,0
54,14,0.7674008662659906,student_math,Evolved Weights,5,0.908860759493671,0.21078691423519,0,0
55,15,0.9066210776468306,student_math,Evolved Weights,75,0.9402531645569616,0.3167361430395912,0,0
56,16,0.8835894118248986,student_math,Evolved Weights,3,0.9071729957805906,0.0959275398930571,0,0
57,17,0.8068987341772151,student_math,Evolved Weights,68,0.9242367833209232,0.355563725490196,0,0
58,18,0.748849252013809,student_math,Evolved Weights,20,0.9455696202531644,0.3085227272727273,0,0
59,19,0.929764122974582,student_math,Evolved Weights,46,0.7589433131535498,0.0754883311032655,0,0
0,0,0.8957625501049818,student_por,Equal Weights,4,0.946153846153846,0.1189657117076471,0,0
1,1,0.8554475439090823,student_por,Equal Weights,4,0.9230769230769232,0.1237789987789987,0,0
2,2,0.6970641157947659,student_por,Equal Weights,29,0.9549071618037132,0.2900667829140125,0,0
3,3,0.9535164835164835,student_por,Equal Weights,23,0.9625418060200666,0.0265951439864483,0,0
4,4,0.9488112241427892,student_por,Equal Weights,61,0.957124842370744,0.0514166444070344,0,0
5,5,0.7728867286559594,student_por,Equal Weights,2,0.95,0.1991758241758242,0,0
6,6,0.9510856468093308,student_por,Equal Weights,15,0.9564102564102565,0.0739209133945976,0,0
7,7,0.9100118835412954,student_por,Equal Weights,41,0.9416510318949344,0.1133912052132998,0,0
8,8,0.8769520757020757,student_por,Equal Weights,16,0.9052884615384617,0.0973090277777778,0,0
9,9,0.7592307692307693,student_por,Equal Weights,5,0.9692307692307692,0.2166666666666667,0,0
10,10,0.8326153846153846,student_por,Equal Weights,1,0.946153846153846,0.12,0,0
11,11,0.8443509615384616,student_por,Equal Weights,1,0.9615384615384616,0.1218749999999999,0,0
12,12,0.8776477146042365,student_por,Equal Weights,61,0.9485498108448926,0.0864813494891897,0,0
13,13,0.8785425101214577,student_por,Equal Weights,2,0.953846153846154,0.0789473684210525,0,0
14,14,0.8268692092221503,student_por,Equal Weights,3,0.9615384615384616,0.1400560224089636,0,0
15,15,0.915514553014553,student_por,Equal Weights,3,0.9666666666666668,0.0620978120978121,0,0
16,16,0.9071321098863472,student_por,Equal Weights,8,0.9403846153846154,0.0923322205101865,0,0
17,17,0.8504684788895316,student_por,Equal Weights,3,0.917948717948718,0.0999164578111945,0,0
18,18,0.9191421753921754,student_por,Equal Weights,81,0.9396011396011398,0.0309570934570934,0,0
19,19,0.8561538461538463,student_por,Equal Weights,2,0.9692307692307692,0.1166666666666665,0,0
20,0,0.8895642818719741,student_por,Deterministic Weights,2,0.9346153846153846,0.067016317016317,0,0
21,1,0.8553082245389938,student_por,Deterministic Weights,4,0.9211538461538462,0.1191493691493691,0,0
22,2,0.6970641157947659,student_por,Deterministic Weights,30,0.9548717948717946,0.2897546152964109,0,0
23,3,0.9462237762237762,student_por,Deterministic Weights,30,0.966153846153846,0.0506493506493507,0,0
24,4,0.9493963816908114,student_por,Deterministic Weights,5,0.963076923076923,0.0289124668435012,0,0
25,5,0.770262045646661,student_por,Deterministic Weights,18,0.9457264957264956,0.2075091575091575,0,0
26,6,0.9151875621005175,student_por,Deterministic Weights,20,0.9592307692307692,0.0879472318617055,0,0
27,7,0.9170955406249524,student_por,Deterministic Weights,7,0.9472527472527472,0.1170953229776758,0,0
28,8,0.861620879120879,student_por,Deterministic Weights,24,0.9025641025641026,0.0921130952380952,0,0
29,9,0.796696481812761,student_por,Deterministic Weights,4,0.9615384615384616,0.2066860465116279,0,0
30,10,0.8370961538461539,student_por,Deterministic Weights,3,0.9256410256410256,0.1158333333333333,0,0
31,11,0.8443509615384616,student_por,Deterministic Weights,1,0.9615384615384616,0.1218749999999999,0,0
32,12,0.90461060678452,student_por,Deterministic Weights,114,0.9485829959514172,0.0870473284660926,0,0
33,13,0.8714574898785425,student_por,Deterministic Weights,2,0.946153846153846,0.0789473684210525,0,0
34,14,0.8455720749838397,student_por,Deterministic Weights,3,0.958974358974359,0.1335200746965453,0,0
35,15,0.9080400455400456,student_por,Deterministic Weights,4,0.953846153846154,0.0671653796653796,0,0
36,16,0.8936040654260993,student_por,Deterministic Weights,12,0.9320512820512822,0.0891774382240483,0,0
37,17,0.8999093888567573,student_por,Deterministic Weights,10,0.9084615384615388,0.0622305764411027,0,0
38,18,0.9191421753921754,student_por,Deterministic Weights,50,0.939692307692308,0.0311609336609336,0,0
39,19,0.8561538461538463,student_por,Deterministic Weights,1,0.9692307692307692,0.1166666666666665,0,0
40,0,0.9626322395553164,student_por,Evolved Weights,7,0.9263736263736264,0.0669330669330669,0,0
41,1,0.9172129864437556,student_por,Evolved Weights,21,0.8967032967032967,0.0776983157935538,0,0
42,2,0.941201230829714,student_por,Evolved Weights,38,0.9372469635627528,0.1789981920746137,0,0
43,3,0.9667776667776669,student_por,Evolved Weights,32,0.9079326923076924,0.0124458874458874,0,0
44,4,0.9514722457030148,student_por,Evolved Weights,117,0.9617357001972384,0.0183384991077299,0,0
45,5,0.943302338686954,student_por,Evolved Weights,50,0.8576923076923078,0.0417454212454212,0,0
46,6,0.9653866236103078,student_por,Evolved Weights,84,0.8796703296703298,0.0089838932649083,0,0
47,7,0.9351432880844646,student_por,Evolved Weights,18,0.9094017094017092,0.0521225325146893,0,0
48,8,0.877293956043956,student_por,Evolved Weights,5,0.9200000000000002,0.1203571428571428,0,0
49,9,0.9551759093619558,student_por,Evolved Weights,149,0.8986060918946828,0.0161594089797617,0,0
50,10,0.925402097902098,student_por,Evolved Weights,83,0.8430954587581091,0.0239430449069003,0,0
51,11,0.9050885627530364,student_por,Evolved Weights,2,0.9384615384615383,0.0819901315789473,0,0
52,12,0.9566009012300573,student_por,Evolved Weights,74,0.851039501039501,0.0092427100099734,0,0
53,13,0.9441183085919927,student_por,Evolved Weights,3,0.9435897435897436,0.0243664717348927,0,0
54,14,0.9537883446061352,student_por,Evolved Weights,69,0.825529542920847,0.0147155362675292,0,0
55,15,0.9541320166320166,student_por,Evolved Weights,66,0.8466200466200465,0.030813687063687,0,0
56,16,0.9039770257990596,student_por,Evolved Weights,5,0.9323076923076924,0.065789248416367,0,0
57,17,0.913392134181608,student_por,Evolved Weights,13,0.8976331360946747,0.0286871023713128,0,0
58,18,0.9388797013797012,student_por,Evolved Weights,28,0.943131868131868,0.0474508599508599,0,0
59,19,0.9730160799652324,student_por,Evolved Weights,62,0.9007444168734492,0.0079217544499119,0,0
0,0,0.5990178571428572,creditg,Equal Weights,3,0.7816666666666666,0.2678571428571428,0,0
1,1,0.5704761904761905,creditg,Equal Weights,4,0.79,0.3095238095238095,0,0
2,2,0.571875,creditg,Equal Weights,5,0.761,0.4549999999999999,0,0
3,3,0.5588095238095239,creditg,Equal Weights,4,0.7762500000000001,0.369047619047619,0,0
